rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
6,rf,raw,AIPW,5.698815976449793,0.03735083333333334,0.587983305470738,5.363237518910742
6,rf,raw,AIPW-N,5.65970912805999,0.03735083333333334,0.587983305470738,5.363237518910742
6,rf,platt,IPW,5.7705147611206975,0.02557439935986238,0.587983305470738,5.363237518910742
6,rf,platt,IPW-N,5.153135727113883,0.02557439935986238,0.587983305470738,5.363237518910742
6,rf,platt,AIPW,5.200986763322129,0.02557439935986238,0.587983305470738,5.363237518910742
6,rf,platt,AIPW-N,5.252085832625903,0.02557439935986238,0.587983305470738,5.363237518910742
6,rf,beta,IPW,6.168565039398831,0.04843244185723282,0.587983305470738,5.363237518910742
6,rf,beta,IPW-N,5.1498314751287655,0.04843244185723282,0.587983305470738,5.363237518910742
6,rf,beta,AIPW,5.223259276113003,0.04843244185723282,0.587983305470738,5.363237518910742
6,rf,beta,AIPW-N,5.28841985337437,0.04843244185723282,0.587983305470738,5.363237518910742
6,rf,iso,IPW,10.822891978569267,0.05806032331982044,0.587983305470738,5.363237518910742
6,rf,iso,IPW-N,2.7906003315501433,0.05806032331982044,0.587983305470738,5.363237518910742
6,rf,iso,AIPW,3.827356642317595,0.05806032331982044,0.587983305470738,5.363237518910742
6,rf,iso,AIPW-N,4.539325955487934,0.05806032331982044,0.587983305470738,5.363237518910742
6,boost,raw,IPW,47.678474630350664,0.16034644581531757,0.587983305470738,5.363237518910742
6,boost,raw,IPW-N,1.0275809617780247,0.16034644581531757,0.587983305470738,5.363237518910742
6,boost,raw,AIPW,1.0581772206812563,0.16034644581531757,0.587983305470738,5.363237518910742
6,boost,raw,AIPW-N,4.488275220033986,0.16034644581531757,0.587983305470738,5.363237518910742
6,boost,platt,IPW,6.206953820881869,0.03955101534639081,0.587983305470738,5.363237518910742
6,boost,platt,IPW-N,5.979185317045154,0.03955101534639081,0.587983305470738,5.363237518910742
6,boost,platt,AIPW,5.694101545496003,0.03955101534639081,0.587983305470738,5.363237518910742
6,boost,platt,AIPW-N,5.737138748061073,0.03955101534639081,0.587983305470738,5.363237518910742
6,boost,beta,IPW,5.340618553207815,0.03688234586740395,0.587983305470738,5.363237518910742
6,boost,beta,IPW-N,5.94347077365277,0.03688234586740395,0.587983305470738,5.363237518910742
6,boost,beta,AIPW,5.765250558485761,0.03688234586740395,0.587983305470738,5.363237518910742
6,boost,beta,AIPW-N,5.819986771283765,0.03688234586740395,0.587983305470738,5.363237518910742
6,boost,iso,IPW,7.907014561021878,0.05686416790406809,0.587983305470738,5.363237518910742
